序号,网站名称,网站描述,网址,来源
1,广告门,一个行业的跌宕起伏,http://www.adquan.com/,https://adnodoor.com/nav/
2,麦迪逊邦,以八卦闻名。提供行业资讯、作品案例、观点、洞察以及招聘信息。,http://www.madisonboom.com/,https://adnodoor.com/nav/
3,TOPYS,创意垂直网站，创意内容平台,https://www.topys.cn/,https://adnodoor.com/nav/
4,梅花网,给中国营销者实用的信息，知识，资源和工具,http://www.meihua.info/,https://adnodoor.com/nav/
5,waaaat,聚合国内外最新广告传播行业资讯、案例、招聘,http://waaaat.com/,https://adnodoor.com/nav/
6,品牌几何,专注营销案例、品牌知识的智库,http://www.brandvista.com/,https://adnodoor.com/nav/
7,大创意PITCHINA,专注分享全球优秀创意营销广告及行业动态,http://www.pitchina.com.cn,https://adnodoor.com/nav/
8,胖鲸智库,广告案例及分析，专业营销智库,https://socialone.com.cn/,https://adnodoor.com/nav/
9,TopMarketing,营销价值交流平台，提供新锐信息参考，打造互动交流平台。,http://www.itopmarketing.com/,https://adnodoor.com/nav/
10,DOMARKETING营销智库,营销人资料站,http://www.domarketing.cn/,https://adnodoor.com/nav/
11,中国广告网,提供全方位的广告行业信息服务,http://www.cnad.com/,https://adnodoor.com/nav/
12,Motive,台湾网站，营销与创意案例库，有一些学习课程,https://www.motive.com.tw/,https://adnodoor.com/nav/
13,品牌星球,关注美好品牌，内容涵盖品牌的前沿资讯、深度报道、营销案例、创意设计及趋势洞察等,https://www.brandstar.com.cn/,https://adnodoor.com/nav/
14,媒介360,营销、媒介、技术，战略咨询智库平台,http://www.chinamedia360.com/,https://adnodoor.com/nav/
15,数英网,大型数字互动营销平台,https://www.digitaling.com/,https://adnodoor.com/nav/
16,网络广告人社区,致力于原创翻译国外营销案例的垂直类传媒网站,http://iwebad.com/,https://adnodoor.com/nav/
17,SocialBeta,分享营销动态、创意案例，营销趋势和实践经验,https://socialbeta.com/,https://adnodoor.com/nav/
18,数字重阵DigiTown,数字互动营销及传统创意行业的行业资讯、行业观点、案例分享及人才招聘,http://www.duanmu.net/,https://adnodoor.com/nav/
19,199Case,营销案例、策划方案、朋友圈广告,http://www.199case.com/,https://adnodoor.com/nav/
20,H5创意汇,H5案例分类网站和服务提供商,http://www.chuangyihui.net/,https://adnodoor.com/nav/
21,最美H5,H5灵感创意灵感聚合站,http://www.iguoguo.net/html5,https://adnodoor.com/nav/
22,H5案例分享,热门H5案例分类汇总,https://www.h5anli.com/,https://adnodoor.com/nav/
23,新片场,国内专业的影视创作人社区，汇聚众多优秀创作人和作品,http://www.xinpianchang.com/,https://adnodoor.com/nav/
24,场库,原V电影，高品质短片分享平台,https://www.vmovier.com/,https://adnodoor.com/nav/
25,welovead,全球广告数据库与创意人社群,http://www.welovead.com/,https://adnodoor.com/nav/
26,红视子TVCX,创意片库、视频制作资源共享,http://www.tvcx.com,https://adnodoor.com/nav/
27,优视云集TVCBOOK,创意视频库和影视制作团队资源网站,https://www.tvcbook.com/,https://adnodoor.com/nav/
28,广告也动人,每天分享一个动人的创意广告,http://www.dailyads.cn/,https://adnodoor.com/nav/
29,4A广告提案论坛,广告资料及案例下载论坛,http://www.4adown.com.cn/,https://adnodoor.com/nav/
30,创意栖息,一个收集分享创意、文字、技巧的地方，“贴创意、嚼文字、玩图像”,http://ideaest.com,https://adnodoor.com/nav/
31,Deck of Brilliance 创意工具,奥美52种创意工具及大量阐释案例,http://deckofbrilliance.com/zh-hans/,https://adnodoor.com/nav/
32,制片帮,大量高清广告片源,http://www.51vimeo.com/,https://adnodoor.com/nav/
33,广正网,低清、带水印作品集，只适合找别处找不到的早年的广告,http://www.adzop.com/,https://adnodoor.com/nav/
34,益闻网,新锐活动公关传播门户，活动策划灵感基地,https://www.yievent.com/,https://adnodoor.com/nav/
35,EventTool,线下活动执行工具导航,http://eventtool.s2.cn.vc/,https://adnodoor.com/nav/
36,创意仓,致力于整合国内外公关活动各个方面的创意,http://www.event120.com/,https://adnodoor.com/nav/
37,MANA吗呐,艺术范的线下互动、科技与设计,http://www.manamana.net/,https://adnodoor.com/nav/
38,元素谷,专注于广告公关行业的实体资源、观点、资讯,http://www.osogoo.com/,https://adnodoor.com/nav/
39,17PR,中国公共关系行业平台，包含资讯、培训、资源等,http://www.17pr.com/,https://adnodoor.com/nav/
40,广告买卖网,专业广告资源在线交易市场,http://www.admaimai.com/,https://adnodoor.com/nav/
41,美通社,公关新闻稿中心，公关日历很实用,https://www.prnasia.com/blog/,https://adnodoor.com/nav/
42,现代广告,资讯、专题、奖项，《现代广告》杂志创办于1994年,http://www.maad.com.cn/,https://adnodoor.com/nav/
43,Campaign中国,为亚太区市场的营销、传播、商业创意行业提供讯息和见解,https://www.campaignchina.com/,https://adnodoor.com/nav/
44,动脑杂志,台湾杂志，溝通創意、鼓勵創意精神，激發動腦風氣,http://www.brain.com.tw,https://adnodoor.com/nav/
